sample_id,p1,p2,p3,p4,p5,type
106,-1.0,-1.0,1.0,1.0,1.0,deterministic
107,-1.5,-1.5,1.5,1.5,1.5,deterministic
108,-2.0,-2.0,2.0,2.0,2.0,deterministic
109,-0.5,0.0,-0.5,-0.5,-0.5,deterministic
110,-1.0,0.0,-1.0,-1.0,-1.0,deterministic
111,-1.5,0.0,-1.5,-1.5,-1.5,deterministic
112,-2.0,0.0,-2.0,-2.0,-2.0,deterministic
113,-0.5,0.0,-0.5,-0.5,0.0,deterministic
114,-1.0,0.0,-1.0,-1.0,0.0,deterministic
115,-1.5,0.0,-1.5,-1.5,0.0,deterministic
116,-2.0,0.0,-2.0,-2.0,0.0,deterministic
117,-0.5,0.0,-0.5,-0.5,0.5,deterministic
118,-1.0,0.0,-1.0,-1.0,1.0,deterministic
119,-1.5,0.0,-1.5,-1.5,1.5,deterministic
120,-2.0,0.0,-2.0,-2.0,2.0,deterministic
121,-0.5,0.0,-0.5,0.0,-0.5,deterministic
122,-1.0,0.0,-1.0,0.0,-1.0,deterministic
123,-1.5,0.0,-1.5,0.0,-1.5,deterministic
124,-2.0,0.0,-2.0,0.0,-2.0,deterministic
125,-0.5,0.0,-0.5,0.0,0.0,deterministic
126,-1.0,0.0,-1.0,0.0,0.0,deterministic
127,-1.5,0.0,-1.5,0.0,0.0,deterministic
128,-2.0,0.0,-2.0,0.0,0.0,deterministic
129,-0.5,0.0,-0.5,0.0,0.5,deterministic
130,-1.0,0.0,-1.0,0.0,1.0,deterministic
131,-1.5,0.0,-1.5,0.0,1.5,deterministic
132,-2.0,0.0,-2.0,0.0,2.0,deterministic
133,-0.5,0.0,-0.5,0.5,-0.5,deterministic
134,-1.0,0.0,-1.0,1.0,-1.0,deterministic
135,-1.5,0.0,-1.5,1.5,-1.5,deterministic
136,-2.0,0.0,-2.0,2.0,-2.0,deterministic
137,-0.5,0.0,-0.5,0.5,0.0,deterministic
138,-1.0,0.0,-1.0,1.0,0.0,deterministic
139,-1.5,0.0,-1.5,1.5,0.0,deterministic
140,-2.0,0.0,-2.0,2.0,0.0,deterministic
141,-0.5,0.0,-0.5,0.5,0.5,deterministic
142,-1.0,0.0,-1.0,1.0,1.0,deterministic
143,-1.5,0.0,-1.5,1.5,1.5,deterministic
144,-2.0,0.0,-2.0,2.0,2.0,deterministic
145,-0.5,0.0,0.0,-0.5,-0.5,deterministic
146,-1.0,0.0,0.0,-1.0,-1.0,deterministic
147,-1.5,0.0,0.0,-1.5,-1.5,deterministic
148,-2.0,0.0,0.0,-2.0,-2.0,deterministic
149,-0.5,0.0,0.0,-0.5,0.0,deterministic
150,-1.0,0.0,0.0,-1.0,0.0,deterministic
151,-1.5,0.0,0.0,-1.5,0.0,deterministic
152,-2.0,0.0,0.0,-2.0,0.0,deterministic
153,-0.5,0.0,0.0,-0.5,0.5,deterministic
154,-1.0,0.0,0.0,-1.0,1.0,deterministic
155,-1.5,0.0,0.0,-1.5,1.5,deterministic
156,-2.0,0.0,0.0,-2.0,2.0,deterministic
157,-0.5,0.0,0.0,0.0,-0.5,deterministic
158,-1.0,0.0,0.0,0.0,-1.0,deterministic
159,-1.5,0.0,0.0,0.0,-1.5,deterministic
160,-2.0,0.0,0.0,0.0,-2.0,deterministic
161,-0.5,0.0,0.0,0.0,0.0,deterministic
162,-1.0,0.0,0.0,0.0,0.0,deterministic
163,-1.5,0.0,0.0,0.0,0.0,deterministic
164,-2.0,0.0,0.0,0.0,0.0,deterministic
165,-0.5,0.0,0.0,0.0,0.5,deterministic
166,-1.0,0.0,0.0,0.0,1.0,deterministic
167,-1.5,0.0,0.0,0.0,1.5,deterministic
168,-2.0,0.0,0.0,0.0,2.0,deterministic
169,-0.5,0.0,0.0,0.5,-0.5,deterministic
170,-1.0,0.0,0.0,1.0,-1.0,deterministic
171,-1.5,0.0,0.0,1.5,-1.5,deterministic
172,-2.0,0.0,0.0,2.0,-2.0,deterministic
173,-0.5,0.0,0.0,0.5,0.0,deterministic
174,-1.0,0.0,0.0,1.0,0.0,deterministic
175,-1.5,0.0,0.0,1.5,0.0,deterministic
176,-2.0,0.0,0.0,2.0,0.0,deterministic
177,-0.5,0.0,0.0,0.5,0.5,deterministic
178,-1.0,0.0,0.0,1.0,1.0,deterministic
179,-1.5,0.0,0.0,1.5,1.5,deterministic
180,-2.0,0.0,0.0,2.0,2.0,deterministic
181,-0.5,0.0,0.5,-0.5,-0.5,deterministic
182,-1.0,0.0,1.0,-1.0,-1.0,deterministic
183,-1.5,0.0,1.5,-1.5,-1.5,deterministic
184,-2.0,0.0,2.0,-2.0,-2.0,deterministic
185,-0.5,0.0,0.5,-0.5,0.0,deterministic
186,-1.0,0.0,1.0,-1.0,0.0,deterministic
187,-1.5,0.0,1.5,-1.5,0.0,deterministic
188,-2.0,0.0,2.0,-2.0,0.0,deterministic
189,-0.5,0.0,0.5,-0.5,0.5,deterministic
190,-1.0,0.0,1.0,-1.0,1.0,deterministic
191,-1.5,0.0,1.5,-1.5,1.5,deterministic
192,-2.0,0.0,2.0,-2.0,2.0,deterministic
193,-0.5,0.0,0.5,0.0,-0.5,deterministic
194,-1.0,0.0,1.0,0.0,-1.0,deterministic
195,-1.5,0.0,1.5,0.0,-1.5,deterministic
196,-2.0,0.0,2.0,0.0,-2.0,deterministic
197,-0.5,0.0,0.5,0.0,0.0,deterministic
198,-1.0,0.0,1.0,0.0,0.0,deterministic
199,-1.5,0.0,1.5,0.0,0.0,deterministic
200,-2.0,0.0,2.0,0.0,0.0,deterministic
201,-0.5,0.0,0.5,0.0,0.5,deterministic
202,-1.0,0.0,1.0,0.0,1.0,deterministic
203,-1.5,0.0,1.5,0.0,1.5,deterministic
204,-2.0,0.0,2.0,0.0,2.0,deterministic
205,-0.5,0.0,0.5,0.5,-0.5,deterministic
206,-1.0,0.0,1.0,1.0,-1.0,deterministic
207,-1.5,0.0,1.5,1.5,-1.5,deterministic
208,-2.0,0.0,2.0,2.0,-2.0,deterministic
209,-0.5,0.0,0.5,0.5,0.0,deterministic
210,-1.0,0.0,1.0,1.0,0.0,deterministic
211,-1.5,0.0,1.5,1.5,0.0,deterministic
212,-2.0,0.0,2.0,2.0,0.0,deterministic
213,-0.5,0.0,0.5,0.5,0.5,deterministic
214,-1.0,0.0,1.0,1.0,1.0,deterministic
215,-1.5,0.0,1.5,1.5,1.5,deterministic
216,-2.0,0.0,2.0,2.0,2.0,deterministic
217,-0.5,0.5,-0.5,-0.5,-0.5,deterministic
218,-1.0,1.0,-1.0,-1.0,-1.0,deterministic
219,-1.5,1.5,-1.5,-1.5,-1.5,deterministic
220,-2.0,2.0,-2.0,-2.0,-2.0,deterministic
221,-0.5,0.5,-0.5,-0.5,0.0,deterministic
222,-1.0,1.0,-1.0,-1.0,0.0,deterministic
223,-1.5,1.5,-1.5,-1.5,0.0,deterministic
224,-2.0,2.0,-2.0,-2.0,0.0,deterministic
225,-0.5,0.5,-0.5,-0.5,0.5,deterministic
226,-1.0,1.0,-1.0,-1.0,1.0,deterministic
227,-1.5,1.5,-1.5,-1.5,1.5,deterministic
228,-2.0,2.0,-2.0,-2.0,2.0,deterministic
229,-0.5,0.5,-0.5,0.0,-0.5,deterministic
230,-1.0,1.0,-1.0,0.0,-1.0,deterministic
231,-1.5,1.5,-1.5,0.0,-1.5,deterministic
232,-2.0,2.0,-2.0,0.0,-2.0,deterministic
233,-0.5,0.5,-0.5,0.0,0.0,deterministic
234,-1.0,1.0,-1.0,0.0,0.0,deterministic
235,-1.5,1.5,-1.5,0.0,0.0,deterministic
236,-2.0,2.0,-2.0,0.0,0.0,deterministic
237,-0.5,0.5,-0.5,0.0,0.5,deterministic
238,-1.0,1.0,-1.0,0.0,1.0,deterministic
239,-1.5,1.5,-1.5,0.0,1.5,deterministic
